Bridge Density by Municipality:
County, Municipality, Number of Bridges
Livingston, Mount Morris (Town), 6
Madison, Georgetown (Town), 6
Madison, Lincoln (Town), 6
Madison, Smithfield (Town), 6
Oneida, Camden (Village), 6
Oneida, Floyd (Town), 6
Oneida, Whitesboro (Village), 6
Oneida, , 6
Onondaga, Lysander (Town), 6
Orange, Monroe (Town), 6
Orleans, Medina (Village), 6
Orleans, Shelby (Town), 6
Oswego, Albion (Town), 6
Otsego, Richfield Springs (Village), 6
Otsego, Unadilla (Village), 6
Rensselaer, East Nassau (Village), 6
Rockland, Montebello (Village), 6
Rockland, Spring Valley (Village), 6
Saratoga, Charlton (Town), 6
Saratoga, Edinburg (Town), 6
Saratoga, Mechanicville (City), 6
Saratoga, Stillwater (Town), 6
Schuyler, Tyrone (Town), 6
Seneca, Seneca Falls (Town), 6
St Lawrence, Edwards (Town), 6
St Lawrence, Gouverneur (Town), 6
St Lawrence, Hammond (Town), 6
St Lawrence, Hermon (Town), 6
Tioga, Owego (Village), 6
Warren, Thurman (Town), 6
Washington, Cambridge (Town), 6
Washington, Whitehall (Village), 6
Westchester, Ossining (Town), 6
Westchester, Sleepy Hollow (Village), 6
Wyoming, Arcade (Village), 6
Wyoming, Gainesville (Town), 6
Yates, Potter (Town), 6
Allegany, Almond (Village), 5
Allegany, Belmont (Village), 5
Allegany, Bolivar (Village), 5
Allegany, Grove (Town), 5
Broome, Dickinson (Town), 5
Cayuga, Owasco (Town), 5
Cayuga, Springport (Town), 5
Chautauqua, Fredonia (Village), 5
Chemung, Ashland (Town), 5
Chemung, , 5
Chenango, Columbus (Town), 5
Chenango, Greene (Village), 5
Clinton, Beekmantown (Town), 5
Clinton, Clinton (Town), 5
Clinton, Dannemora (Town), 5
Columbia, Kinderhook (Town), 5
Cortland, Lapeer (Town), 5
Cortland, Scott (Town), 5
Cortland, Taylor (Town), 5
Delaware, Fleischmanns (Village), 5
Delaware, Harpersfield (Town), 5
Dutchess, Pine Plains (Town), 5
Essex, Port Henry (Village), 5
Franklin, Duane (Town), 5
Franklin, Harrietstown (Town), 5
Franklin, Malone (Village), 5
Fulton, Bleecker (Town), 5
Fulton, Perth (Town), 5
Genesee, Pavilion (Town), 5
Hamilton, Benson (Town), 5
Herkimer, Little Falls (City), 5
Herkimer, Norway (Town), 5
Jefferson, Cape Vincent (Town), 5
Jefferson, Wilna (Town), 5
Livingston, Nunda (Town), 5
Livingston, Springwater (Town), 5
Madison, Cazenovia (Village), 5
Montgomery, Charleston (Town), 5
Montgomery, St. Johnsville (Village), 5
Nassau, Long Beach (City), 5
Nassau, Rockville Centre (Village), 5
Niagara, Middleport (Village), 5
Oneida, Florence (Town), 5
Oneida, Sherrill (City), 5
Oneida, Steuben (Town), 5
Onondaga, North Syracuse (Village), 5
Ontario, Naples (Town), 5
Ontario, Phelps (Village), 5
Orange, Highland Falls (Village), 5
Orange, Walden (Village), 5
Oswego, Sandy Creek (Village), 5
Otsego, Gilbertsville (Village), 5
Otsego, Morris (Town), 5
Otsego, Roseboom (Town), 5
Rockland, South Nyack (Village), 5
Saratoga, Hadley (Town), 5
Saratoga, Northumberland (Town), 5
Saratoga, Waterford (Town), 5
Schoharie, Esperance (Town), 5
Seneca, Covert (Town), 5
Seneca, Fayette (Town), 5
Seneca, Junius (Town), 5
Seneca, Lodi (Town), 5
Steuben, Arkport (Village), 5
Steuben, Pulteney (Town), 5
Steuben, Thurston (Town), 5
St Lawrence, Clifton (Town), 5
St Lawrence, Louisville (Town), 5
St Lawrence, Morristown (Town), 5
St Lawrence, Ogdensburg (City), 5
Tompkins, Danby (Town), 5
Warren, Lake Luzerne (Town), 5
Washington, Argyle (Town), 5
Washington, Fort Edward (Village), 5
Washington, Greenwich (Town), 5
Wayne, Galen (Town), 5
Wayne, Newark (Village), 5
Westchester, Ardsley (Village), 5
Westchester, Pelham (Village), 5
Westchester, Pound Ridge (Town), 5
Westchester, Tarrytown (Village), 5
Westchester, , 5
Wyoming, Arcade (Town), 5
Wyoming, Attica (Town), 5
Wyoming, Covington (Town), 5
Yates, Italy (Town), 5
Yates, Jerusalem (Town), 5
Yates, Milo (Town), 5
Yates, Starkey (Town), 5
Albany, Watervliet (City), 4
Allegany, Alfred (Village), 4
Allegany, Alma (Town), 4
Allegany, Bolivar (Town), 4
Broome, Port Dickinson (Village), 4
Cattaraugus, Ellicottville (Village), 4
Cattaraugus, Lyndon (Town), 4
Cattaraugus, Salamanca (Town), 4
Cayuga, Venice (Town), 4
Chautauqua, Cherry Creek (Village), 4
Chautauqua, Dunkirk (City), 4
Chautauqua, Silver Creek (Village), 4
Chemung, Van Etten (Village), 4
Chenango, German (Town), 4
Clinton, Champlain (Village), 4
Delaware, Margaretville (Village), 4
Dutchess, , 4
Erie, Blasdell (Village), 4
Essex, Essex (Town), 4
Franklin, Brandon (Town), 4
Franklin, Dickinson (Town), 4
Franklin, Waverly (Town), 4
Fulton, Broadalbin (Village), 4
Genesee, Batavia (City), 4
Greene, Prattsville (Town), 4
Greene, Tannersville (Village), 4
Herkimer, Litchfield (Town), 4
Herkimer, Little Falls (Town), 4
Herkimer, Middleville (Village), 4
Herkimer, , 4
Jefferson, Antwerp (Town), 4
Jefferson, Lyme (Town), 4
Jefferson, Philadelphia (Village), 4
Lewis, Harrisville (Village), 4
Lewis, Lowville (Village), 4
Livingston, Nunda (Village), 4
Livingston, Sparta (Town), 4
Livingston, , 4
Madison, Chittenango (Village), 4
Madison, Stockbridge (Town), 4
Monroe, Churchville (Village), 4
Monroe, Honeoye Falls (Village), 4
Nassau, Glen Cove (City), 4
Nassau, Lake Success (Village), 4
Nassau, Lawrence (Village), 4
Onondaga, Baldwinsville (Village), 4
Onondaga, Fayetteville (Village), 4
Onondaga, Jordan (Village), 4
Onondaga, Skaneateles (Village), 4
Ontario, Geneva (City), 4
Ontario, Geneva (Town), 4
Ontario, Hopewell (Town), 4
Ontario, Naples (Village), 4
Ontario, South Bristol (Town), 4
Ontario, West Bloomfield (Town), 4
Orange, , 4
Oswego, Fulton (City), 4
Oswego, Lacona (Village), 4
Oswego, Mexico (Village), 4
Otsego, Edmeston (Town), 4
Otsego, Richfield (Town), 4
Otsego, Springfield (Town), 4
Otsego, Westford (Town), 4
Rensselaer, North Greenbush (Town), 4
Rockland, Haverstraw (Village), 4
Saratoga, Round Lake (Village), 4
Schoharie, Jefferson (Town), 4
Schoharie, Summit (Town), 4
Schuyler, Dix (Town), 4
Schuyler, Odessa (Village), 4
Schuyler, Reading (Town), 4
Schuyler, Watkins Glen (Village), 4
Seneca, Waterloo (Village), 4
Steuben, Savona (Village), 4
Steuben, , 4
St Lawrence, Hopkinton (Town), 4
Suffolk, Babylon (Village), 4
Suffolk, Brightwaters (Village), 4
Suffolk, Westhampton Beach (Village), 4
Sullivan, Liberty (Village), 4
Sullivan, Lumberland (Town), 4
Tioga, Spencer (Village), 4
Tompkins, Trumansburg (Village), 4
Ulster, , 4
Warren, Glens Falls (City), 4
Washington, Hampton (Town), 4
Washington, Jackson (Town), 4
Wayne, Huron (Town), 4
Wayne, Ontario (Town), 4
Wayne, , 4
Westchester, Bronxville (Village), 4
Westchester, Dobbs Ferry (Village), 4
Westchester, Tuckahoe (Village), 4
Wyoming, Wethersfield (Town), 4
Yates, Benton (Town), 4
Yates, Penn Yan (Village), 4
Albany, Colonie (Village), 3
Albany, Voorheesville (Village), 3
Allegany, Canaseraga (Village), 3
Allegany, Richburg (Village), 3
Allegany, , 3
Broome, Endicott (Village), 3
Cattaraugus, Delevan (Village), 3
Cattaraugus, Franklinville (Village), 3
Cattaraugus, Persia (Town), 3
Cayuga, Cato (Town), 3
Cayuga, Fleming (Town), 3
Cayuga, Moravia (Town), 3
Cayuga, Port Byron (Village), 3
Chautauqua, Forestville (Village), 3
Chautauqua, Panama (Village), 3
Chautauqua, Sherman (Village), 3
Chenango, Afton (Village), 3
Chenango, Lincklaen (Town), 3
Chenango, Pharsalia (Town), 3
Columbia, Clermont (Town), 3
Delaware, Delhi (Village), 3
Delaware, Deposit (Village), 3
Delaware, Sidney (Village), 3
Erie, Orchard Park (Village), 3
Erie, Springville (Village), 3
Erie, Williamsville (Village), 3
Erie, , 3
Franklin, Tupper Lake (Village), 3
Genesee, Le Roy (Village), 3
Greene, Athens (Town), 3
Greene, Halcott (Town), 3
Greene, Hunter (Village), 3
Hamilton, Hope (Town), 3
Hamilton, Speculator (Village), 3
Herkimer, Fairfield (Town), 3
Herkimer, Mohawk (Village), 3
Jefferson, Black River (Village), 3
Jefferson, Champion (Town), 3
Jefferson, Deferiet (Village), 3
Jefferson, Ellisburg (Village), 3
Jefferson, Theresa (Village), 3
Jefferson, , 3
Lewis, Croghan (Village), 3
Livingston, Conesus (Town), 3
Livingston, Dansville (Village), 3
Livingston, Lima (Town), 3
Madison, Deruyter (Village), 3
Madison, Madison (Town), 3
Monroe, Brockport (Village), 3
Monroe, Pittsford (Village), 3
Monroe, Sweden (Town), 3
Monroe, , 3
Nassau, Freeport (Village), 3
Nassau, Great Neck Plaza (Village), 3
New York, , 3
Niagara, Cambria (Town), 3
Niagara, Lewiston (Village), 3
Niagara, North Tonawanda (City), 3
Oneida, Ava (Town), 3
Oneida, Barneveld (Village), 3
Oneida, Oriskany Falls (Village), 3
Oneida, Oriskany (Village), 3
Onondaga, , 3
Orange, Cornwall On Hudson (Village), 3
Orange, Harriman (Village), 3
Orange, Monroe (Village), 3
Orleans, Albion (Village), 3
Oswego, Hannibal (Village), 3
Oswego, Palermo (Town), 3
Oswego, Parish (Village), 3
Oswego, Williamstown (Town), 3
Oswego, , 3
Otsego, Cooperstown (Village), 3
Otsego, Pittsfield (Town), 3
Rensselaer, Hoosick Falls (Village), 3
Rockland, Airmont (Village), 3
Rockland, Nyack (Village), 3
Rockland, Piermont (Village), 3
Rockland, West Haverstraw (Village), 3
Rockland, , 3
Saratoga, Corinth (Town), 3
Saratoga, Galway (Town), 3
Saratoga, Schuylerville (Village), 3
Schenectady, Niskayuna (Town), 3
Schoharie, Carlisle (Town), 3
Schoharie, Gilboa (Town), 3
Schoharie, , 3
Steuben, Addison (Town), 3
Steuben, Caton (Town), 3
Steuben, Cohocton (Village), 3
St Lawrence, Massena (Village), 3
St Lawrence, Parishville (Town), 3
St Lawrence, Piercefield (Town), 3
St Lawrence, Potsdam (Village), 3
St Lawrence, Waddington (Village), 3
Suffolk, Islandia (Village), 3
Suffolk, , 3
Sullivan, Jeffersonville (Village), 3
Tioga, , 3
Tompkins, Freeville (Village), 3
Tompkins, Groton (Village), 3
Ulster, Plattekill (Town), 3
Warren, Hague (Town), 3
Washington, Fort Ann (Village), 3
Washington, Granville (Village), 3
Washington, Hudson Falls (Village), 3
Washington, Salem (Village), 3
Wayne, Butler (Town), 3
Wayne, Lyons (Town), 3
Wayne, Red Creek (Village), 3
Wayne, Williamson (Town), 3
Westchester, Rye (Town), 3
Wyoming, Attica (Village), 3
Wyoming, Castile (Town), 3
Broome, Lisle (Village), 2
Cattaraugus, Perrysburg (Town), 2
Cattaraugus, , 2
Cayuga, Niles (Town), 2
Cayuga, Victory (Town), 2
Chautauqua, Lakewood (Village), 2
Chautauqua, Mayville (Village), 2
Chautauqua, , 2
Chemung, Millport (Village), 2
Chemung, Wellsburg (Village), 2
Chenango, New Berlin (Village), 2
Chenango, Oxford (Village), 2
Chenango, , 2
Columbia, Germantown (Town), 2
Columbia, Hudson (City), 2
Columbia, Kinderhook (Village), 2
Columbia, Stuyvesant (Town), 2
Columbia, Valatie (Village), 2
Cortland, Freetown (Town), 2
Cortland, Mcgraw (Village), 2
Dutchess, Millbrook (Village), 2
Dutchess, Wappingers Falls (Village), 2
Essex, Keeseville (Village), 2
Essex, Lake Placid (Village), 2
Franklin, Tupper Lake (Town), 2
Franklin, , 2
Hamilton, , 2
Herkimer, Cold Brook (Village), 2
Herkimer, Columbia (Town), 2
Herkimer, Frankfort (Village), 2
Jefferson, Brownville (Village), 2
Jefferson, Chaumont (Village), 2
Jefferson, Clayton (Village), 2
Jefferson, Dexter (Village), 2
Lewis, Constableville (Village), 2
Lewis, Turin (Town), 2
Lewis, Watson (Town), 2
Madison, Fenner (Town), 2
Madison, Munnsville (Village), 2
Monroe, Scottsville (Village), 2
Monroe, Spencerport (Village), 2
Monroe, Webster (Village), 2
Montgomery, Fonda (Village), 2
Montgomery, Fort Johnson (Village), 2
Montgomery, Fultonville (Village), 2
Montgomery, Hagaman (Village), 2
Nassau, Saddle Rock (Village), 2
Oneida, Augusta (Town), 2
Oneida, Boonville (Village), 2
Oneida, Clayville (Village), 2
Oneida, New Hartford (Village), 2
Oneida, New York Mills (Village), 2
Oneida, Oneida Castle (Village), 2
Oneida, Remsen (Village), 2
Oneida, Vernon (Village), 2
Onondaga, Camillus (Village), 2
Onondaga, Fabius (Town), 2
Onondaga, Manlius (Village), 2
Onondaga, Tully (Town), 2
Ontario, Manchester (Village), 2
Ontario, Rushville (Village), 2
Orange, Greenwood Lake (Village), 2
Orange, Washingtonville (Village), 2
Orleans, Barre (Town), 2
Oswego, Orwell (Town), 2
Otsego, Decatur (Town), 2
Otsego, Otego (Village), 2
Otsego, Sidney (Town), 2
Putnam, Brewster (Village), 2
Saratoga, Corinth (Village), 2
Saratoga, Stillwater (Village), 2
Saratoga, Victory (Village), 2
Schenectady, Delanson (Village), 2
Schenectady, Scotia (Village), 2
Steuben, Addison (Village), 2
Steuben, Painted Post (Village), 2
St Lawrence, Canton (Village), 2
St Lawrence, Gouverneur (Village), 2
St Lawrence, Hermon (Village), 2
St Lawrence, Lisbon (Town), 2
St Lawrence, Macomb (Town), 2
Suffolk, East Hampton (Town), 2
Suffolk, Patchogue (Village), 2
Suffolk, Quogue (Village), 2
Suffolk, Shelter Island (Town), 2
Sullivan, Monticello (Village), 2
Sullivan, Wurtsboro (Village), 2
Tioga, Candor (Village), 2
Tompkins, Lansing (Village), 2
Ulster, Hurley (Town), 2
Ulster, Kingston (Town), 2
Ulster, Saugerties (Village), 2
Warren, , 2
Washington, Dresden (Town), 2
Washington, Greenwich (Village), 2
Washington, Hartford (Town), 2
Washington, Putnam (Town), 2
Washington, , 2
Wayne, Macedon (Village), 2
Wayne, Palmyra (Village), 2
Westchester, Larchmont (Village), 2
Wyoming, Genesee Falls (Town), 2
Wyoming, Perry (Town), 2
Yates, Dresden (Village), 2
Albany, Ravena (Village), 1
Albany, Schodack (Town), 1
Albany, , 1
Broome, Deposit (Village), 1
Cattaraugus, Allegany (Village), 1
Cattaraugus, Cattaraugus (Village), 1
Cattaraugus, Portville (Village), 1
Cattaraugus, Rushford (Town), 1
Cattaraugus, South Dayton (Village), 1
Cayuga, Aurora (Village), 1
Cayuga, Conquest (Town), 1
Cayuga, Ledyard (Town), 1
Cayuga, Scipio (Town), 1
Cayuga, Sempronius (Town), 1
Cayuga, Sennett (Town), 1
Cayuga, Weedsport (Village), 1
Cayuga, , 1
Chautauqua, Brocton (Village), 1
Chautauqua, Cassadaga (Village), 1
Chautauqua, Celoron (Village), 1
Chenango, Bainbridge (Village), 1
Chenango, Earlville (Village), 1
Chenango, Norwich (City), 1
Chenango, Smyrna (Village), 1
Clinton, Keeseville (Village), 1
Columbia, Chatham (Village), 1
Columbia, Philmont (Village), 1
Columbia, , 1
Cortland, , 1
Delaware, Franklin (Village), 1
Delaware, Hobart (Village), 1
Dutchess, Millerton (Village), 1
Dutchess, Pawling (Village), 1
Dutchess, Rhinebeck (Village), 1
Dutchess, Tivoli (Village), 1
Erie, Alden (Village), 1
Erie, Angola (Village), 1
Erie, Ashford (Town), 1
Erie, Gowanda (Village), 1
Erie, Hamburg (Village), 1
Erie, North Collins (Village), 1
Erie, Yorkshire (Town), 1
Essex, Saranac Lake (Village), 1
Franklin, Brighton (Town), 1
Franklin, Brushton (Village), 1
Franklin, Burke (Village), 1
Franklin, Chateaugay (Village), 1
Fulton, Dolgeville (Village), 1
Fulton, Northampton (Town), 1
Fulton, Northville (Village), 1
Genesee, Alden (Town), 1
Genesee, Alexander (Village), 1
Genesee, Corfu (Village), 1
Greene, Athens (Village), 1
Greene, Coxsackie (Village), 1
Herkimer, Newport (Village), 1
Herkimer, Poland (Village), 1
Herkimer, West Winfield (Village), 1
Jefferson, Alexandria Bay (Village), 1
Jefferson, Antwerp (Village), 1
Jefferson, Carthage (Village), 1
Jefferson, Evans Mills (Village), 1
Jefferson, Mannsville (Village), 1
Jefferson, Worth (Town), 1
Lewis, Copenhagen (Village), 1
Lewis, Port Leyden (Village), 1
Lewis, Turin (Village), 1
Lewis, , 1
Livingston, Lima (Village), 1
Livingston, Mount Morris (Village), 1
Livingston, West Bloomfield (Town), 1
Madison, Morrisville (Village), 1
Madison, Nelson (Town), 1
Madison, Sherrill (City), 1
Madison, Wampsville (Village), 1
Madison, , 1
Monroe, East Rochester (Village), 1
Monroe, Hilton (Village), 1
Montgomery, Ames (Village), 1
Montgomery, Nelliston (Village), 1
Nassau, Atlantic Beach (Village), 1
Nassau, East Rockaway (Village), 1
Nassau, Hewlett Harbor (Village), 1
Nassau, Mill Neck (Village), 1
Nassau, Mineola (Village), 1
Nassau, Roslyn (Village), 1
Nassau, Sands Point (Village), 1
Nassau, Thomaston (Village), 1
Niagara, Barker (Village), 1
Niagara, Youngstown (Village), 1
Oneida, Bridgewater (Town), 1
Oneida, Bridgewater (Village), 1
Oneida, Clinton (Village), 1
Oneida, Holland Patent (Village), 1
Oneida, Oneida (City), 1
Oneida, Sangerfield (Town), 1
Onondaga, Cazenovia (Town), 1
Onondaga, Elbridge (Village), 1
Onondaga, Liverpool (Village), 1
Onondaga, Marcellus (Village), 1
Onondaga, Minoa (Village), 1
Onondaga, Otisco (Town), 1
Ontario, Canadice (Town), 1
Ontario, Shortsville (Village), 1
Ontario, Victor (Village), 1
Ontario, , 1
Orange, Florida (Village), 1
Orange, Middletown (City), 1
Orange, Otisville (Village), 1
Orleans, Clarendon (Town), 1
Orleans, Holley (Village), 1
Orleans, Lyndonville (Village), 1
Oswego, Boylston (Town), 1
Oswego, Central Square (Village), 1
Oswego, Minetto (Town), 1
Oswego, Phoenix (Village), 1
Oswego, Scriba (Town), 1
Otsego, Brookfield (Town), 1
Otsego, Morris (Village), 1
Putnam, Cold Spring (Village), 1
Queens, Hempstead (Town), 1
Rensselaer, Grafton (Town), 1
Rensselaer, Nassau (Village), 1
Rensselaer, Schaghticoke (Village), 1
Rensselaer, Valley Falls (Village), 1
Rensselaer, , 1
Saratoga, South Glens Falls (Village), 1
Schoharie, Middleburgh (Village), 1
Schoharie, Schoharie (Village), 1
Schuyler, Burdett (Village), 1
Schuyler, , 1
Seneca, Lodi (Village), 1
Seneca, Romulus (Town), 1
Seneca, Varick (Town), 1
Steuben, Avoca (Village), 1
Steuben, Canisteo (Village), 1
Steuben, Hammondsport (Village), 1
Steuben, North Hornell (Village), 1
Steuben, South Corning (Village), 1
St Lawrence, De Peyster (Town), 1
St Lawrence, Heuvelton (Village), 1
St Lawrence, Morristown (Village), 1
St Lawrence, Norwood (Village), 1
St Lawrence, Rensselaer Falls (Village), 1
St Lawrence, Richville (Village), 1
Suffolk, East Hampton (Village), 1
Suffolk, North Haven (Village), 1
Tioga, Newark Valley (Village), 1
Tompkins, , 1
Ulster, Crawford (Town), 1
Ulster, Marlborough (Town), 1
Ulster, New Paltz (Village), 1
Warren, Hudson Falls (Village), 1
Warren, Lake George (Village), 1
Washington, Argyle (Village), 1
Washington, Cambridge (Village), 1
Wayne, Clyde (Village), 1
Wayne, Walworth (Town), 1
Westchester, Buchanan (Village), 1
Westchester, Harrison (Town), 1
Westchester, Irvington (Village), 1
Wyoming, Gainesville (Village), 1
Wyoming, Wyoming (Village), 1
Wyoming, , 1
Yates, Dundee (Village), 1
Yates, Rushville (Village), 1
Yates, Torrey (Town), 1
Yates, , 1
