Feature Carried Condition Correlation:
90IX: Total: 119, Poor: 15, Poor %: 12.61%
95IX (SB): Total: 1, Poor: 0, Poor %: 0.00%
ACCESS TO HOUSING: Total: 1, Poor: 0, Poor %: 0.00%
ARTHUR AVENUE: Total: 1, Poor: 1, Poor %: 100.00%
BARRETTO STREET: Total: 1, Poor: 0, Poor %: 0.00%
BAYCHESTERAV RAMP: Total: 1, Poor: 0, Poor %: 0.00%
BE SB SERVICE RD: Total: 1, Poor: 0, Poor %: 0.00%
BE SERVICE RD NB: Total: 1, Poor: 1, Poor %: 100.00%
BE  SERVICE RD SB: Total: 1, Poor: 0, Poor %: 0.00%
BE SERVICE RD SB: Total: 1, Poor: 0, Poor %: 0.00%
BE SERVICE ROAD: Total: 1, Poor: 1, Poor %: 100.00%
BOTANICAL GRDN RD: Total: 1, Poor: 0, Poor %: 0.00%
BRUCKNER BLVD.: Total: 1, Poor: 0, Poor %: 0.00%
Bruckner Blvd. NB: Total: 1, Poor: 0, Poor %: 0.00%
CBE SERVICE RD EB: Total: 1, Poor: 0, Poor %: 0.00%
CBE SVC RD W/B: Total: 1, Poor: 0, Poor %: 0.00%
CITY ISLAND BRDGE: Total: 1, Poor: 0, Poor %: 0.00%
CLAREMONT PARKWAY: Total: 1, Poor: 0, Poor %: 0.00%
CLAY AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
CONCOURSE VLGE AV: Total: 1, Poor: 1, Poor %: 100.00%
CONNER ST: Total: 1, Poor: 0, Poor %: 0.00%
CONN RD BETWN MOS: Total: 1, Poor: 0, Poor %: 0.00%
CROTONA PARKWAY: Total: 1, Poor: 1, Poor %: 100.00%
E 173RD STREET: Total: 1, Poor: 0, Poor %: 0.00%
E 233RD ST: Total: 1, Poor: 0, Poor %: 0.00%
EAST 158TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
EAST 162ND STREET: Total: 1, Poor: 0, Poor %: 0.00%
EAST 163RD STREET: Total: 1, Poor: 0, Poor %: 0.00%
EAST 165TH ST: Total: 1, Poor: 0, Poor %: 0.00%
EAST 168TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
EAST 169TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
EAST 170TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
EAST 172ND STREET: Total: 1, Poor: 0, Poor %: 0.00%
EAST 174 TH ST: Total: 1, Poor: 0, Poor %: 0.00%
EAST 174TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
EAST 176TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
EAST 177TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
EAST 183RD STREET: Total: 1, Poor: 0, Poor %: 0.00%
EAST 187TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
EAST 188TH STREET: Total: 1, Poor: 1, Poor %: 100.00%
EAST 238TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
EAST 241ST STREET: Total: 1, Poor: 0, Poor %: 0.00%
EASTCHESTER  ROAD: Total: 1, Poor: 0, Poor %: 0.00%
E FORDHAM RD: Total: 1, Poor: 0, Poor %: 0.00%
E FORDHAM RD(US1): Total: 1, Poor: 0, Poor %: 0.00%
E L GRANT HIGHWAY/UNIVERSITY AVE: Total: 1, Poor: 0, Poor %: 0.00%
E.TREMONT AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
EXTERIOR STREET: Total: 1, Poor: 0, Poor %: 0.00%
FAILE STREET: Total: 1, Poor: 0, Poor %: 0.00%
FIELDSTON ROAD: Total: 1, Poor: 0, Poor %: 0.00%
FM BRUCKNER BLVD: Total: 1, Poor: 0, Poor %: 0.00%
FORDHAM PLAZA: Total: 1, Poor: 0, Poor %: 0.00%
GERARD AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
HUGH GRANT CIRCLE: Total: 1, Poor: 0, Poor %: 0.00%
HUNTS POINT AVE: Total: 1, Poor: 0, Poor %: 0.00%
I-95 EXIT 10 RAMP: Total: 1, Poor: 0, Poor %: 0.00%
I95 SERVICE RD EB: Total: 1, Poor: 0, Poor %: 0.00%
JARVIS AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
JEROME AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
JEROME AVE RAMP: Total: 1, Poor: 0, Poor %: 0.00%
JEROME & E174 ST: Total: 1, Poor: 0, Poor %: 0.00%
JESUP AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
LAYTON AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
LEGGETT AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
LOGAN AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
LONGWOOD AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
MACOMBS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MANHATTAN COL PKY: Total: 1, Poor: 0, Poor %: 0.00%
MARMION AVE: Total: 1, Poor: 1, Poor %: 100.00%
MATTHEWSON ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MELROSE AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
MORRIS AVENUE: Total: 1, Poor: 1, Poor %: 100.00%
MOSHOLU PKWY: Total: 1, Poor: 0, Poor %: 0.00%
N ALBANY CRESCENT: Total: 1, Poor: 0, Poor %: 0.00%
PARKRD SO ALLERT: Total: 1, Poor: 0, Poor %: 0.00%
PENNYFIELD AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
RAMP FROM WASH BR: Total: 1, Poor: 0, Poor %: 0.00%
Ramp to NB 87I: Total: 1, Poor: 0, Poor %: 0.00%
Ramp To NB 95I: Total: 1, Poor: 0, Poor %: 0.00%
RANDALL AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
RIVERDALE AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
ROSEDALE AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
S ALBANY CRESCENT: Total: 1, Poor: 0, Poor %: 0.00%
SNUFF MILL RD.: Total: 1, Poor: 0, Poor %: 0.00%
ST MARY'S STREET: Total: 1, Poor: 0, Poor %: 0.00%
TIFFANY STREET: Total: 1, Poor: 0, Poor %: 0.00%
TO BRUCKNER BLVD: Total: 1, Poor: 0, Poor %: 0.00%
UNDERCLIFF AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
UNION PORT ROAD: Total: 1, Poor: 0, Poor %: 0.00%
VAN CORTLAND PK S: Total: 1, Poor: 0, Poor %: 0.00%
VAN CORT. PARK S: Total: 1, Poor: 0, Poor %: 0.00%
W 231ST STREET: Total: 1, Poor: 0, Poor %: 0.00%
WALES AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
WATSON AVE: Total: 1, Poor: 0, Poor %: 0.00%
WEST 205TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
WEST 231ST STREET: Total: 1, Poor: 0, Poor %: 0.00%
WEST 232ND STREET: Total: 1, Poor: 0, Poor %: 0.00%
WEST 233RD STREET: Total: 1, Poor: 0, Poor %: 0.00%
WEST233 STREET: Total: 1, Poor: 0, Poor %: 0.00%
WEST 238TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
WEST 239TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
WEST 246TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
WEST 254TH STREET: Total: 1, Poor: 1, Poor %: 100.00%
WEST TREMONT AVE.: Total: 1, Poor: 1, Poor %: 100.00%
WILKINSON AVE: Total: 1, Poor: 0, Poor %: 0.00%
WILLIAMSBRIDGE RD: Total: 1, Poor: 0, Poor %: 0.00%
Willis Ave Ramp to I-87 Northbound: Total: 1, Poor: 0, Poor %: 0.00%
WOOD & BEACH AVES: Total: 1, Poor: 0, Poor %: 0.00%
W TREMONT AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
26  26 91011274: Total: 1, Poor: 0, Poor %: 0.00%
79   79 91031080: Total: 1, Poor: 0, Poor %: 0.00%
79   79 91031097: Total: 1, Poor: 0, Poor %: 0.00%
81I 81I91013095: Total: 1, Poor: 0, Poor %: 0.00%
81I 81I9101314: Total: 1, Poor: 0, Poor %: 0.00%
81I 81I91013147: Total: 1, Poor: 0, Poor %: 0.00%
BARKER HILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
CR133 SOUTH ST: Total: 1, Poor: 0, Poor %: 0.00%
11X COURT STREET: Total: 1, Poor: 0, Poor %: 0.00%
17  17 91012016: Total: 1, Poor: 0, Poor %: 0.00%
17  17 91012025: Total: 1, Poor: 0, Poor %: 0.00%
17  1791072006: Total: 1, Poor: 0, Poor %: 0.00%
17  17 91072006: Total: 1, Poor: 0, Poor %: 0.00%
17 1791072009: Total: 1, Poor: 0, Poor %: 0.00%
17  1791072009: Total: 1, Poor: 0, Poor %: 0.00%
363 363 91011001: Total: 1, Poor: 0, Poor %: 0.00%
363 363 91011003: Total: 1, Poor: 0, Poor %: 0.00%
363 363 91011008: Total: 1, Poor: 0, Poor %: 0.00%
363 363 91011011: Total: 1, Poor: 0, Poor %: 0.00%
363 363 91011013: Total: 1, Poor: 0, Poor %: 0.00%
7   7 91012012: Total: 1, Poor: 0, Poor %: 0.00%
81I  81I91012024: Total: 1, Poor: 0, Poor %: 0.00%
BELDEN STREET: Total: 1, Poor: 0, Poor %: 0.00%
BEVIER STREET: Total: 1, Poor: 0, Poor %: 0.00%
BIGELOW STREET: Total: 1, Poor: 0, Poor %: 0.00%
BROOK AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
CHENANGO ST: Total: 1, Poor: 0, Poor %: 0.00%
CROSS STREET: Total: 1, Poor: 0, Poor %: 0.00%
E.CLINTON STREET: Total: 1, Poor: 0, Poor %: 0.00%
FAIRVIEW AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
HOTCHKISS STREET: Total: 1, Poor: 0, Poor %: 0.00%
MORRIS STREET: Total: 1, Poor: 0, Poor %: 0.00%
WINDY HILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
CLINE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
CR 141: Total: 1, Poor: 0, Poor %: 0.00%
HANCE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
HAND ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MAXIAN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
PIERCE CREEK ROAD: Total: 1, Poor: 0, Poor %: 0.00%
11  11 91013030: Total: 1, Poor: 0, Poor %: 0.00%
11  11 91013032: Total: 1, Poor: 1, Poor %: 100.00%
11  11 91013037: Total: 1, Poor: 0, Poor %: 0.00%
11  11 91013047: Total: 1, Poor: 0, Poor %: 0.00%
11  11 91013074: Total: 1, Poor: 0, Poor %: 0.00%
11  11 91013081: Total: 1, Poor: 0, Poor %: 0.00%
11  11 91013085: Total: 1, Poor: 0, Poor %: 0.00%
12  12 91011025: Total: 1, Poor: 1, Poor %: 100.00%
12  12 91011063: Total: 1, Poor: 0, Poor %: 0.00%
12A 12A91011003: Total: 1, Poor: 0, Poor %: 0.00%
12A 12A91011008: Total: 1, Poor: 0, Poor %: 0.00%
81I 81I91013024: Total: 1, Poor: 0, Poor %: 0.00%
81I 81I91013025: Total: 1, Poor: 0, Poor %: 0.00%
81I 81I91013029: Total: 1, Poor: 0, Poor %: 0.00%
81I 81I91013030: Total: 1, Poor: 0, Poor %: 0.00%
81I  81I91013083: Total: 1, Poor: 0, Poor %: 0.00%
81I  81I91013084: Total: 1, Poor: 0, Poor %: 0.00%
88I 88I91011235: Total: 1, Poor: 0, Poor %: 0.00%
88I 88I91011236: Total: 1, Poor: 0, Poor %: 0.00%
88I 88I91131A01: Total: 1, Poor: 0, Poor %: 0.00%
BROOKS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
KATTELVILLE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
41  41 91011117: Total: 1, Poor: 0, Poor %: 0.00%
7   7 91013090: Total: 1, Poor: 0, Poor %: 0.00%
7   7 91013105: Total: 1, Poor: 0, Poor %: 0.00%
7   7 91013156: Total: 1, Poor: 0, Poor %: 0.00%
7   7 91013161: Total: 1, Poor: 0, Poor %: 0.00%
7   7 91013166: Total: 1, Poor: 0, Poor %: 0.00%
7   7 91013181: Total: 1, Poor: 0, Poor %: 0.00%
79  79 91011107: Total: 1, Poor: 0, Poor %: 0.00%
79  79 91011190: Total: 1, Poor: 0, Poor %: 0.00%
88I 88I91011035: Total: 1, Poor: 0, Poor %: 0.00%
88I 88I91011048: Total: 1, Poor: 0, Poor %: 0.00%
88I 88I91011049: Total: 1, Poor: 0, Poor %: 0.00%
88I 88I91011102: Total: 1, Poor: 0, Poor %: 0.00%
CIRCLE DRIVE: Total: 1, Poor: 0, Poor %: 0.00%
CONNECTION ROAD: Total: 1, Poor: 0, Poor %: 0.00%
COUNTY ROAD 229: Total: 1, Poor: 0, Poor %: 0.00%
CR221 TUNNEL RD: Total: 1, Poor: 0, Poor %: 0.00%
CR221 TUNNEL ROAD: Total: 1, Poor: 1, Poor %: 100.00%
CR233 EAST  WINDSOR ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MARTIN HILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
SANITARIA SPRINGS RD: Total: 1, Poor: 0, Poor %: 0.00%
7   7 91011014: Total: 1, Poor: 0, Poor %: 0.00%
7   7 91011024: Total: 1, Poor: 0, Poor %: 0.00%
7   7 91011033: Total: 1, Poor: 0, Poor %: 0.00%
7A  7A91011017: Total: 1, Poor: 0, Poor %: 0.00%
BANTA ROAD: Total: 1, Poor: 0, Poor %: 0.00%
BRADY HILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
CONKLIN FORKS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
CORBETTSVILLE RD: Total: 1, Poor: 0, Poor %: 0.00%
CR 197: Total: 1, Poor: 0, Poor %: 0.00%
FALLBROOK ROAD: Total: 1, Poor: 1, Poor %: 100.00%
11  11 91013004: Total: 1, Poor: 1, Poor %: 100.00%
17  17 91071094: Total: 1, Poor: 0, Poor %: 0.00%
17  17 91071098: Total: 1, Poor: 0, Poor %: 0.00%
L STELLA IRE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
17C 17C91021040: Total: 1, Poor: 0, Poor %: 0.00%
INDUSTRIAL PARK ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MCKINLEY AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
12A 12A91011010: Total: 1, Poor: 0, Poor %: 0.00%
369 369 91011006: Total: 1, Poor: 0, Poor %: 0.00%
369 369 91011055: Total: 1, Poor: 0, Poor %: 0.00%
369 369 91011061: Total: 1, Poor: 0, Poor %: 0.00%
79  79 91031002: Total: 1, Poor: 1, Poor %: 100.00%
79  79 91031034: Total: 1, Poor: 1, Poor %: 100.00%
990J990J91011003: Total: 1, Poor: 0, Poor %: 0.00%
BALLYHACK ROAD: Total: 1, Poor: 0, Poor %: 0.00%
CR 193: Total: 1, Poor: 0, Poor %: 0.00%
MIDDLE CROSSOVER: Total: 1, Poor: 0, Poor %: 0.00%
RICHARDS HILL RD: Total: 1, Poor: 0, Poor %: 0.00%
ROGERS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
17  17 91071078: Total: 1, Poor: 0, Poor %: 0.00%
17   17 91071085: Total: 1, Poor: 0, Poor %: 0.00%
17   17 91071089: Total: 1, Poor: 0, Poor %: 0.00%
17  17  91071092: Total: 1, Poor: 0, Poor %: 0.00%
17C 17C91021094: Total: 1, Poor: 0, Poor %: 0.00%
201  201 91011010: Total: 1, Poor: 0, Poor %: 0.00%
201 201 91011017: Total: 1, Poor: 0, Poor %: 0.00%
201 201 91011019: Total: 1, Poor: 0, Poor %: 0.00%
201 201 91011021: Total: 1, Poor: 0, Poor %: 0.00%
201 201 91011024: Total: 1, Poor: 0, Poor %: 0.00%
201  201 91011123: Total: 1, Poor: 0, Poor %: 0.00%
201 201 91011125: Total: 1, Poor: 0, Poor %: 0.00%
ARCH STREET: Total: 1, Poor: 0, Poor %: 0.00%
HARRY L.DRIVE: Total: 1, Poor: 0, Poor %: 0.00%
HARRY L ROAD: Total: 1, Poor: 0, Poor %: 0.00%
OLD HARRY L DRIVE: Total: 1, Poor: 0, Poor %: 0.00%
WEGMANS-ENTRANCE: Total: 1, Poor: 0, Poor %: 0.00%
11  11 91011011: Total: 1, Poor: 0, Poor %: 0.00%
11  11 91011051: Total: 1, Poor: 0, Poor %: 0.00%
11  11 91011077: Total: 1, Poor: 0, Poor %: 0.00%
11  11 91011078: Total: 1, Poor: 0, Poor %: 0.00%
11  11 91011089: Total: 1, Poor: 0, Poor %: 0.00%
11  11 91011090: Total: 1, Poor: 0, Poor %: 0.00%
17  17 91073021: Total: 1, Poor: 0, Poor %: 0.00%
17  17 91073022: Total: 1, Poor: 0, Poor %: 0.00%
17  17 91073051: Total: 1, Poor: 0, Poor %: 0.00%
81I 81I91011054: Total: 1, Poor: 0, Poor %: 0.00%
81I 81I91011055: Total: 1, Poor: 0, Poor %: 0.00%
81I 81I91011087: Total: 1, Poor: 0, Poor %: 0.00%
81I 81I91011088: Total: 1, Poor: 0, Poor %: 0.00%
81I 81I91011092: Total: 1, Poor: 0, Poor %: 0.00%
990FX: Total: 1, Poor: 0, Poor %: 0.00%
990GX: Total: 1, Poor: 0, Poor %: 0.00%
COLESVILLE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
CONKLIN-KIRKWOOD CONNECTION: Total: 1, Poor: 0, Poor %: 0.00%
CORPORATE DRIVE: Total: 1, Poor: 0, Poor %: 0.00%
LOUGHLIN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
STRATMILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
TO 81I NB: Total: 1, Poor: 0, Poor %: 0.00%
WEST FOLEY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
W.FOLEY-HASKIN RD: Total: 1, Poor: 0, Poor %: 0.00%
79  79 91031187: Total: 1, Poor: 0, Poor %: 0.00%
79  79 91031195: Total: 1, Poor: 1, Poor %: 100.00%
CR148 OWEN HILL R: Total: 1, Poor: 0, Poor %: 0.00%
CR156 JENNINGS CK: Total: 1, Poor: 0, Poor %: 0.00%
CR21 CALDWELL HIL: Total: 1, Poor: 0, Poor %: 0.00%
CR25 HUNTS CORS R: Total: 1, Poor: 0, Poor %: 0.00%
CR37 KILLAWOG RIV: Total: 1, Poor: 0, Poor %: 0.00%
HUNTS CORS RD: Total: 1, Poor: 0, Poor %: 0.00%
OREGON HILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
POPPLE HILL RD: Total: 1, Poor: 0, Poor %: 0.00%
79  79 91031155: Total: 1, Poor: 0, Poor %: 0.00%
WALKER AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
26  26 91011135: Total: 1, Poor: 0, Poor %: 0.00%
26  26 91011158: Total: 1, Poor: 0, Poor %: 0.00%
26  26 91011165: Total: 1, Poor: 0, Poor %: 0.00%
26  26 91011168: Total: 1, Poor: 0, Poor %: 0.00%
26  26 91011200: Total: 1, Poor: 1, Poor %: 100.00%
26  26 91011203: Total: 1, Poor: 0, Poor %: 0.00%
38B 38B91021027: Total: 1, Poor: 0, Poor %: 0.00%
BAILEY HOLLOW RD: Total: 1, Poor: 0, Poor %: 0.00%
CR21 NANTICOKE RD: Total: 1, Poor: 0, Poor %: 0.00%
CR 45: Total: 1, Poor: 0, Poor %: 0.00%
FREDERICKS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
OLD NEWARK VALLEY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
POLLARD HILL RD: Total: 1, Poor: 0, Poor %: 0.00%
WYOK RD: Total: 1, Poor: 0, Poor %: 0.00%
26  26 91011215: Total: 1, Poor: 0, Poor %: 0.00%
26  26 91011216: Total: 1, Poor: 0, Poor %: 0.00%
26  26 91011234: Total: 1, Poor: 0, Poor %: 0.00%
26  26 91011240: Total: 1, Poor: 0, Poor %: 0.00%
CHERRY VLY HLL RD: Total: 1, Poor: 0, Poor %: 0.00%
KENYON ROAD: Total: 1, Poor: 0, Poor %: 0.00%
LEEKVILLE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
7   7 91013008: Total: 1, Poor: 0, Poor %: 0.00%
7   7 91013010: Total: 1, Poor: 0, Poor %: 0.00%
990H990H91011107: Total: 1, Poor: 0, Poor %: 0.00%
41  41 91011000: Total: 1, Poor: 1, Poor %: 100.00%
41  41 91011005: Total: 1, Poor: 1, Poor %: 100.00%
GULF SUMMIT ROAD: Total: 1, Poor: 0, Poor %: 0.00%
OQUAGA LAKE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
PAGE POND ROAD: Total: 1, Poor: 0, Poor %: 0.00%
SHERMAN CREEK RD: Total: 1, Poor: 0, Poor %: 0.00%
206 206 91011044: Total: 1, Poor: 0, Poor %: 0.00%
206 206 91011047: Total: 1, Poor: 0, Poor %: 0.00%
26  26 91011299: Total: 1, Poor: 0, Poor %: 0.00%
BASSETT RD: Total: 1, Poor: 0, Poor %: 0.00%
DORCHESTER PARK ROAD: Total: 1, Poor: 0, Poor %: 0.00%
PAGEBROOK ROAD: Total: 1, Poor: 0, Poor %: 0.00%
UPPER LISLE ROAD: Total: 1, Poor: 1, Poor %: 100.00%
17  17 91071056: Total: 1, Poor: 0, Poor %: 0.00%
17  17 91071057: Total: 1, Poor: 0, Poor %: 0.00%
17C 17C91021015: Total: 1, Poor: 0, Poor %: 0.00%
17C 17C91021018: Total: 1, Poor: 0, Poor %: 0.00%
17C 17C91021057: Total: 1, Poor: 0, Poor %: 0.00%
17C 17C    91021061: Total: 1, Poor: 0, Poor %: 0.00%
17C 17C91021082: Total: 1, Poor: 0, Poor %: 0.00%
26  26 91011096: Total: 1, Poor: 0, Poor %: 0.00%
26  26 91011101: Total: 1, Poor: 0, Poor %: 0.00%
ARGONNE AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
CARRIE ANNE DRIVE: Total: 1, Poor: 0, Poor %: 0.00%
CR33 HOOPER ROAD: Total: 1, Poor: 0, Poor %: 0.00%
NANTICOKE DRIVE: Total: 1, Poor: 0, Poor %: 0.00%
RAMP JK: Total: 1, Poor: 0, Poor %: 0.00%
RAMPRT201 TO 17C: Total: 1, Poor: 0, Poor %: 0.00%
RAMP-RTS17C TO201: Total: 1, Poor: 0, Poor %: 0.00%
SALLY PIPER ROAD: Total: 1, Poor: 0, Poor %: 0.00%
SMITH DRIVE: Total: 1, Poor: 0, Poor %: 0.00%
WATSON BOULEVARD: Total: 1, Poor: 0, Poor %: 0.00%
201 201 91011002: Total: 1, Poor: 0, Poor %: 0.00%
26  26 91011005: Total: 1, Poor: 0, Poor %: 0.00%
26  26 91011025: Total: 1, Poor: 0, Poor %: 0.00%
26  26 91011068: Total: 1, Poor: 0, Poor %: 0.00%
434 434 91011003: Total: 1, Poor: 0, Poor %: 0.00%
434 434 91011026: Total: 1, Poor: 0, Poor %: 0.00%
434 434 91011080: Total: 1, Poor: 0, Poor %: 0.00%
AFRICAN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
BAKER HILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
CR44 OLD VESTAL R: Total: 1, Poor: 0, Poor %: 0.00%
JUNEBERRY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MEEKER ROAD: Total: 1, Poor: 0, Poor %: 0.00%
OLD VESTAL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
OWEGO ROAD: Total: 1, Poor: 1, Poor %: 100.00%
SHEEDY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
TRACY CREEK ROAD: Total: 1, Poor: 0, Poor %: 0.00%
WASHINGTON DRIVE: Total: 1, Poor: 1, Poor %: 100.00%
WEST HILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
11  11 91013163: Total: 1, Poor: 0, Poor %: 0.00%
26  26 91011278: Total: 1, Poor: 0, Poor %: 0.00%
26  26 91011282: Total: 1, Poor: 0, Poor %: 0.00%
79  79 91031125: Total: 1, Poor: 0, Poor %: 0.00%
17  17 91073087: Total: 1, Poor: 0, Poor %: 0.00%
17  17 91073088: Total: 1, Poor: 0, Poor %: 0.00%
17  17 91073137: Total: 1, Poor: 0, Poor %: 0.00%
17  17 91073138: Total: 1, Poor: 0, Poor %: 0.00%
79  79 91011024: Total: 1, Poor: 0, Poor %: 0.00%
79  79 91011060: Total: 1, Poor: 0, Poor %: 0.00%
79  79 91011095: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 91073085: Total: 1, Poor: 0, Poor %: 0.00%
CR 217: Total: 1, Poor: 0, Poor %: 0.00%
DUTCHTOWN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
E BOSKETT ROAD: Total: 1, Poor: 0, Poor %: 0.00%
Fox Farm Hill Road: Total: 1, Poor: 0, Poor %: 0.00%
HOADLEY HILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MCNAIR RD: Total: 1, Poor: 1, Poor %: 100.00%
OUAQUAGA RD: Total: 1, Poor: 0, Poor %: 0.00%
RED HARVEST LANE: Total: 1, Poor: 0, Poor %: 0.00%
SEWARD ROAD: Total: 1, Poor: 0, Poor %: 0.00%
79  79 91011068: Total: 1, Poor: 0, Poor %: 0.00%
17 17 9107 06D1: Total: 1, Poor: 0, Poor %: 0.00%
17 17 91072017: Total: 1, Poor: 0, Poor %: 0.00%
81I81I91012017: Total: 1, Poor: 0, Poor %: 0.00%
81I 81I91012017: Total: 1, Poor: 0, Poor %: 0.00%
81I81I91012021: Total: 1, Poor: 0, Poor %: 0.00%
81I 81I 9101 2021: Total: 1, Poor: 0, Poor %: 0.00%
GORMAN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
417  17 51023085: Total: 1, Poor: 0, Poor %: 0.00%
417  17 51023127: Total: 1, Poor: 0, Poor %: 0.00%
417  17 51023140: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 51123116: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 51123117: Total: 1, Poor: 0, Poor %: 0.00%
86I  17 51123131: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 51123131: Total: 1, Poor: 0, Poor %: 0.00%
952W952W51011003: Total: 1, Poor: 0, Poor %: 0.00%
CHAPIN CROSS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
EATON CROSS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
FIVE MILE RD: Total: 1, Poor: 0, Poor %: 0.00%
FLATSTONE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
GEIGER HOLLOW RD: Total: 1, Poor: 0, Poor %: 0.00%
N NINE MILE CK RD: Total: 1, Poor: 0, Poor %: 0.00%
N NINE MILE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
N. NINEMILE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
NO. NINE MILE ROA: Total: 1, Poor: 0, Poor %: 0.00%
N SEVENTH STREET: Total: 1, Poor: 0, Poor %: 0.00%
951T: Total: 1, Poor: 0, Poor %: 0.00%
219 219 51013195: Total: 1, Poor: 0, Poor %: 0.00%
219 219 51013209: Total: 1, Poor: 0, Poor %: 0.00%
240  240 51021088: Total: 1, Poor: 0, Poor %: 0.00%
240  240 51021131: Total: 1, Poor: 0, Poor %: 0.00%
ASHFORD HOLLOW RD: Total: 1, Poor: 0, Poor %: 0.00%
CASCADE RD/MILLER: Total: 1, Poor: 0, Poor %: 0.00%
PETERS RD.: Total: 1, Poor: 0, Poor %: 0.00%
THOMAS CORNERS RD: Total: 1, Poor: 0, Poor %: 0.00%
219 219 51011025: Total: 1, Poor: 0, Poor %: 0.00%
219 219 51011060: Total: 1, Poor: 0, Poor %: 0.00%
219 219 51011069: Total: 1, Poor: 0, Poor %: 0.00%
219 219 51011093: Total: 1, Poor: 0, Poor %: 0.00%
